DateTime,Players,Average Players
11/30/2011 0:00,680,
12/1/2011 0:00,,
12/2/2011 0:00,,
12/3/2011 0:00,,
12/4/2011 0:00,,
12/5/2011 0:00,,
12/6/2011 0:00,,
12/7/2011 0:00,,
12/8/2011 0:00,,
12/9/2011 0:00,,
12/10/2011 0:00,,
12/11/2011 0:00,,
12/12/2011 0:00,,
12/13/2011 0:00,,
12/14/2011 0:00,,
12/15/2011 0:00,,
12/16/2011 0:00,,
12/17/2011 0:00,,
12/18/2011 0:00,,
12/19/2011 0:00,,
12/20/2011 0:00,,
12/21/2011 0:00,,
12/22/2011 0:00,,
12/23/2011 0:00,,
12/24/2011 0:00,,
12/25/2011 0:00,,
12/26/2011 0:00,,
12/27/2011 0:00,,
12/28/2011 0:00,,
12/29/2011 0:00,,
12/30/2011 0:00,,
12/31/2011 0:00,,
1/1/2012 0:00,,
1/2/2012 0:00,,
1/3/2012 0:00,,
1/4/2012 0:00,,
1/5/2012 0:00,,
1/6/2012 0:00,,
1/7/2012 0:00,,
1/8/2012 0:00,,
1/9/2012 0:00,,
1/10/2012 0:00,,
1/11/2012 0:00,,
1/12/2012 0:00,,
1/13/2012 0:00,,
1/14/2012 0:00,,
1/15/2012 0:00,,
1/16/2012 0:00,,
1/17/2012 0:00,,
1/18/2012 0:00,,
1/19/2012 0:00,,
1/20/2012 0:00,,
1/21/2012 0:00,,
1/22/2012 0:00,,
1/23/2012 0:00,,
1/24/2012 0:00,,
1/25/2012 0:00,,
1/26/2012 0:00,,
1/27/2012 0:00,,
1/28/2012 0:00,,
1/29/2012 0:00,,
1/30/2012 0:00,,
1/31/2012 0:00,,
2/1/2012 0:00,,
2/2/2012 0:00,,
2/3/2012 0:00,,
2/4/2012 0:00,,
2/5/2012 0:00,,
2/6/2012 0:00,,
2/7/2012 0:00,,
2/8/2012 0:00,,
2/9/2012 0:00,,
2/10/2012 0:00,,
2/11/2012 0:00,,
2/12/2012 0:00,,
2/13/2012 0:00,,
2/14/2012 0:00,,
2/15/2012 0:00,,
2/16/2012 0:00,,
2/17/2012 0:00,,
2/18/2012 0:00,,
2/19/2012 0:00,,
2/20/2012 0:00,,
2/21/2012 0:00,,
2/22/2012 0:00,,
2/23/2012 0:00,,
2/24/2012 0:00,,
2/25/2012 0:00,,
2/26/2012 0:00,,
2/27/2012 0:00,,
2/28/2012 0:00,204,
2/29/2012 0:00,,
3/1/2012 0:00,,
3/2/2012 0:00,,
